,Growth,Hour,Day
0,0.6484848484848484,00,Sunday
1,0.9818181818181818,01,Sunday
2,0.6424242424242425,02,Sunday
3,0.7636363636363637,03,Sunday
4,1.2787878787878788,04,Sunday
5,1.1090909090909091,05,Sunday
6,1.1393939393939394,06,Sunday
7,1.1878787878787878,07,Sunday
8,1.1545454545454545,08,Sunday
9,1.0127272727272727,09,Sunday
10,1.3956709956709956,10,Sunday
11,1.0182900432900432,11,Sunday
12,1.2534019439679818,12,Sunday
13,0.7296296296296297,13,Sunday
14,0.6487878787878788,14,Sunday
15,0.7607954545454545,15,Sunday
16,0.5204545454545455,16,Sunday
17,0.5424242424242425,17,Sunday
18,0.5878787878787879,18,Sunday
19,0.7451463790446841,19,Sunday
20,0.7865491651205936,20,Sunday
21,0.7485105290190036,21,Sunday
22,0.9150392817059485,22,Sunday
23,0.8848484848484848,23,Sunday
0,0.9757575757575759,00,Monday
1,1.496969696969697,01,Monday
2,1.2424242424242424,02,Monday
3,1.321212121212121,03,Monday
4,1.2303030303030305,04,Monday
5,1.496969696969697,05,Monday
6,1.7333333333333334,06,Monday
7,1.8181818181818183,07,Monday
8,1.9454545454545453,08,Monday
9,2.1999999999999997,09,Monday
10,2.6809250398724083,10,Monday
11,2.149242424242424,11,Monday
12,1.6826038159371492,12,Monday
13,1.484848484848485,13,Monday
14,1.3454545454545455,14,Monday
15,1.2,15,Monday
16,1.2666666666666666,16,Monday
17,0.9575757575757575,17,Monday
18,0.7575757575757575,18,Monday
19,1.1818181818181817,19,Monday
20,0.6509090909090909,20,Monday
21,0.8415461896593972,21,Monday
22,1.2,22,Monday
23,0.8,23,Monday
0,1.2272727272727273,00,Tuesday
1,1.4272727272727272,01,Tuesday
2,1.3218181818181818,02,Tuesday
3,1.690909090909091,03,Tuesday
4,1.290909090909091,04,Tuesday
5,1.3818181818181818,05,Tuesday
6,1.8765800865800866,06,Tuesday
7,1.9090909090909092,07,Tuesday
8,1.678787878787879,08,Tuesday
9,1.5173843700159488,09,Tuesday
10,1.5786696514230893,10,Tuesday
11,1.690909090909091,11,Tuesday
12,1.518181818181818,12,Tuesday
13,1.5879931389365352,13,Tuesday
14,1.218181818181818,14,Tuesday
15,1.1435064935064936,15,Tuesday
16,1.0545454545454545,16,Tuesday
17,0.8151515151515151,17,Tuesday
18,0.7212121212121212,18,Tuesday
19,0.6818181818181818,19,Tuesday
20,1.0068181818181818,20,Tuesday
21,0.9167019027484143,21,Tuesday
22,0.7694915254237287,22,Tuesday
23,1.1272727272727272,23,Tuesday
0,1.387878787878788,00,Wednesday
1,1.323376623376623,01,Wednesday
2,0.9515151515151515,02,Wednesday
3,1.115151515151515,03,Wednesday
4,1.303030303030303,04,Wednesday
5,1.4484848484848485,05,Wednesday
6,1.2969696969696969,06,Wednesday
7,1.6787878787878787,07,Wednesday
8,1.878787878787879,08,Wednesday
9,1.7946524064171123,09,Wednesday
10,1.8451033263844827,10,Wednesday
11,1.6869755244755245,11,Wednesday
12,1.3702978056426331,12,Wednesday
13,1.4272727272727272,13,Wednesday
14,1.3045454545454547,14,Wednesday
15,0.9922727272727273,15,Wednesday
16,1.0344405594405595,16,Wednesday
17,0.9409090909090909,17,Wednesday
18,0.8931818181818182,18,Wednesday
19,1.067970401691332,19,Wednesday
20,0.7323863636363637,20,Wednesday
21,0.6393939393939394,21,Wednesday
22,0.9911816578483247,22,Wednesday
23,1.0088012811775928,23,Wednesday
0,1.1186868686868685,00,Thursday
1,1.1344155844155843,01,Thursday
2,1.1881432246998285,02,Thursday
3,1.386286594761171,03,Thursday
4,1.6463636363636365,04,Thursday
5,1.4331980519480518,05,Thursday
6,1.8454545454545452,06,Thursday
7,1.8727272727272728,07,Thursday
8,1.8936363636363638,08,Thursday
9,1.9130417358330893,09,Thursday
10,1.7263042991491269,10,Thursday
11,1.4778730703259007,11,Thursday
12,1.2909090909090908,12,Thursday
13,1.2315746753246755,13,Thursday
14,1.1753246753246753,14,Thursday
15,0.8121212121212121,15,Thursday
16,0.7757575757575758,16,Thursday
17,0.708713550600343,17,Thursday
18,0.8189847659902106,18,Thursday
19,0.9409090909090909,19,Thursday
20,0.7474747474747474,20,Thursday
21,0.9685175202156334,21,Thursday
22,0.6464015151515151,22,Thursday
23,1.0454545454545454,23,Thursday
0,0.8454545454545455,00,Friday
1,1.109090909090909,01,Friday
2,1.3181818181818181,02,Friday
3,1.8363636363636364,03,Friday
4,1.2,04,Friday
5,1.3363636363636364,05,Friday
6,1.2636363636363637,06,Friday
7,1.339712918660287,07,Friday
8,1.963372859025033,08,Friday
9,1.98474025974026,09,Friday
10,0.8658047985092011,10,Friday
11,1.6060606060606062,11,Friday
12,1.3090909090909093,12,Friday
13,0.9575757575757575,13,Friday
14,0.6363636363636362,14,Friday
15,0.8606060606060607,15,Friday
16,0.5575757575757575,16,Friday
17,0.47878787878787876,17,Friday
18,0.5945005611672278,18,Friday
19,0.6573593073593073,19,Friday
20,0.8424242424242424,20,Friday
21,0.6113636363636363,21,Friday
22,0.36,22,Friday
23,0.9914438502673797,23,Friday
0,0.8272727272727273,00,Saturday
1,1.018181818181818,01,Saturday
2,0.8363636363636364,02,Saturday
3,0.8363636363636364,03,Saturday
4,1.2545454545454544,04,Saturday
5,1.0727272727272728,05,Saturday
6,1.0909090909090908,06,Saturday
7,1.4363636363636365,07,Saturday
8,1.5363636363636364,08,Saturday
9,1.4462121212121213,09,Saturday
10,1.253030303030303,10,Saturday
11,1.509090909090909,11,Saturday
12,1.012121212121212,12,Saturday
13,0.8363636363636364,13,Saturday
14,0.8363636363636363,14,Saturday
15,0.7999999999999999,15,Saturday
16,0.6303030303030303,16,Saturday
17,0.6303030303030303,17,Saturday
18,0.6181818181818182,18,Saturday
19,0.6727272727272727,19,Saturday
20,0.3909090909090909,20,Saturday
21,0.7103030303030303,21,Saturday
22,0.6662435677530018,22,Saturday
23,0.5151515151515151,23,Saturday
